interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
314,4,104385,1631.0156,16384,49.9555,1.1843,0.3835,1.9837,13.217,9.295,13.217,0.9124,123.6282,5.8813,0.695
315,4,104689,1635.7656,16384,50.0454,1.1807,0.3821,1.9808,6.027,3.068,6.027,0.9068,123.6195,5.6799,0.5974
316,4,103460,1616.5625,16384,49.7042,1.1951,0.3817,1.999,15.605,7.917,15.605,0.9657,123.625,5.5655,0.6066
317,4,104814,1637.7188,16384,50.0725,1.1792,0.3843,1.9764,8.433,2.891,8.433,0.9089,123.6277,5.6951,0.5793
318,4,104186,1627.9062,16384,49.9472,1.1866,0.3789,1.9927,10.091,3.229,10.091,0.9339,123.6321,5.8378,0.615
319,4,103729,1620.7656,16384,49.9754,1.1918,0.3855,1.9973,11.422,3.265,11.422,0.9408,123.6098,6.0833,0.8295
320,4,104352,1630.5,16384,50.1802,1.1848,0.3836,1.9918,11.898,10.547,11.898,0.9352,123.6443,5.8115,0.6151
321,4,104513,1633.0156,16384,49.8895,1.1831,0.3835,1.9791,9.925,9.124,9.925,0.9148,123.6311,5.683,0.5888
322,4,103980,1624.6875,16384,49.8307,1.1883,0.3805,1.9906,14.46,10.83,14.46,0.9243,123.5647,5.9326,0.8285
323,4,105072,1641.75,16384,50.2941,1.1763,0.3791,1.983,9.74,6.16,9.74,0.919,123.5895,5.7625,0.7683
324,4,104558,1633.7188,16384,50.131,1.1815,0.385,1.9822,7.355,7.355,6.569,0.9112,123.5801,5.866,0.7691
325,4,104392,1631.125,16384,49.9128,1.1846,0.3839,1.9824,7.144,2.771,7.144,0.9107,123.6157,5.4925,0.6172
326,4,104356,1630.5625,16384,50.0527,1.1848,0.3857,1.9856,6.309,4.277,6.309,0.911,123.6457,5.4467,0.5993
327,4,103636,1619.3125,16384,49.9421,1.1918,0.382,1.9998,12.386,10.345,12.386,0.9409,123.5165,5.485,0.527
328,4,104391,1631.1094,16384,50.1078,1.1844,0.3811,1.9911,13.487,2.825,13.487,0.9467,123.6278,5.4851,0.545
329,4,104968,1640.125,16384,50.2658,1.1786,0.3805,1.9852,8.819,2.828,8.819,0.9205,123.7301,5.4666,0.5448
330,4,103931,1623.9219,16384,49.6618,1.1892,0.3792,1.9884,7.273,2.809,7.273,0.9176,123.6032,5.4919,0.6172
331,4,104034,1625.5312,16384,49.7828,1.1888,0.3802,1.9905,12.4,10.428,12.4,0.9383,123.6589,5.8788,0.8232
332,4,104403,1631.2969,16384,50.2083,1.1831,0.3809,1.9921,10.319,10.319,6.641,0.9198,123.5547,5.5768,0.5819
333,4,103823,1622.2344,16384,49.881,1.191,0.3838,1.9944,11.98,10.384,11.98,0.9336,123.6219,5.7492,0.6151
334,4,104595,1634.2969,16384,50.2146,1.1819,0.3795,1.9913,6.921,4.023,6.921,0.9172,123.6177,5.725,0.6063
335,4,104370,1630.7812,16384,49.9205,1.1844,0.3846,1.9816,15.514,11.075,15.514,0.9205,123.6128,5.8046,0.6331
336,4,103816,1622.125,16384,49.8632,1.1907,0.3807,1.9963,13.016,10.219,13.016,0.932,123.6082,5.9963,0.7495
337,4,104546,1633.5312,16384,50.265,1.1819,0.3817,1.9907,10.328,10.328,7.207,0.9208,123.6002,5.8823,0.7041
338,4,103941,1624.0781,16384,49.9764,1.1905,0.3838,1.9966,12.896,2.617,12.896,0.9364,123.7251,5.6442,0.6063
339,4,103912,1623.625,16384,50.0645,1.1894,0.3848,1.9961,12.663,11.388,12.663,0.9281,123.6086,5.6033,0.5353
340,4,104160,1627.5,16384,50.2333,1.1867,0.3816,1.9993,12.774,10.42,12.774,0.9334,123.6108,5.7932,0.6329
341,4,103552,1618,16384,49.7547,1.1935,0.3811,1.998,7.72,2.849,7.72,0.9247,123.6005,5.73,0.6783
342,4,103731,1620.7969,16384,49.9638,1.1915,0.3844,1.9975,12.16,2.869,12.16,0.9323,123.5962,5.938,0.6787
343,4,104261,1629.0781,16384,49.9065,1.1857,0.3822,1.9863,7.378,2.767,7.378,0.9202,123.6012,5.8793,0.7048
344,4,105188,1643.5625,16384,50.2785,1.1764,0.377,1.9847,6.685,2.963,6.685,0.916,123.7295,5.6546,0.5887
345,4,103767,1621.3594,16384,49.9388,1.1912,0.381,1.9994,12.766,11.941,12.766,0.9322,123.617,5.7491,0.6061
346,4,104474,1632.4062,16384,49.911,1.1822,0.382,1.9797,6.528,6.528,6.508,0.9082,123.5467,6.012,0.776
347,4,104130,1627.0312,16384,49.8665,1.1867,0.3808,1.9882,7.591,6.217,7.591,0.9188,123.5589,6.2372,0.8643
348,4,103585,1618.5156,16384,49.8451,1.1929,0.3807,2.0001,13.039,3.125,13.039,0.941,123.5485,5.917,0.8031
349,4,104308,1629.8125,16384,49.9051,1.1852,0.3832,1.9842,6.95,2.816,6.95,0.917,123.6182,5.7516,0.6599
350,4,104378,1630.9062,16384,50.0115,1.1847,0.3801,1.9896,12.471,12.279,12.471,0.9276,123.6595,5.6191,0.5709
351,4,103767,1621.3594,16384,49.7345,1.1912,0.381,1.9928,9.44,9.44,6.555,0.9231,123.6153,5.6582,0.6157
352,4,104113,1626.7656,16384,49.8967,1.1874,0.3815,1.9899,8.13,2.863,8.13,0.92,123.5996,5.8635,0.6872
353,4,104503,1632.8594,16384,50.166,1.1826,0.3778,1.9928,11.13,11.13,7.048,0.9195,123.607,5.9907,0.7232
354,4,103827,1622.2969,16384,50.196,1.1912,0.3835,2.0052,11.776,2.64,11.776,0.9579,123.7267,5.7443,0.6601
355,4,104429,1631.7031,16384,50.0034,1.1842,0.3789,1.9896,10.415,10.415,10.219,0.9247,123.614,5.6334,0.6159
356,4,104423,1631.6094,16384,50.1729,1.1837,0.3832,1.9898,13.389,10.862,13.389,0.9226,123.6075,5.8096,0.5703
357,4,104586,1634.1562,16384,50.3882,1.1819,0.3855,1.9908,14.898,9.328,14.898,0.9192,123.6028,5.7485,0.5891
358,4,104420,1631.5625,16384,50.2624,1.1838,0.3824,1.9936,11.788,11.788,7.519,0.9274,123.6075,6.0466,0.8116
359,4,103739,1620.9219,16384,49.9976,1.1914,0.3792,2.0035,14.266,3.244,14.266,0.9512,123.6024,5.7663,0.6873
360,4,104422,1631.5938,16384,50.0881,1.185,0.3796,1.9933,7.376,2.852,7.376,0.9202,123.7311,5.8352,0.7393
361,4,104210,1628.2812,16384,50.2476,1.1859,0.3828,1.997,9.23,3.411,9.23,0.9275,123.5991,5.5883,0.5624
362,4,103072,1610.5,16384,49.7933,1.1993,0.3878,2.0042,13.746,5.206,13.746,0.9481,123.6084,5.6204,0.5977
363,4,104109,1626.7031,16384,50.182,1.1873,0.3822,1.9983,6.318,2.717,6.318,0.9259,123.6214,5.8593,0.6243
364,4,103300,1614.0625,16384,49.8538,1.196,0.3851,2.0021,11.336,9.35,11.336,0.9337,123.546,6.167,0.7587
365,4,103990,1624.8438,16384,50.2087,1.1897,0.3857,2.0004,11.728,3.948,11.728,0.9313,123.7263,5.8797,0.686
366,4,103685,1620.0781,16384,49.9841,1.1915,0.3813,2.0011,11.617,2.735,11.617,0.9344,123.6006,5.5966,0.5891
367,4,103739,1620.9219,16384,50.0005,1.1924,0.3798,2.005,15.038,13.234,15.038,0.962,123.6205,5.6409,0.6069
368,4,103747,1621.0469,16384,50.04,1.1921,0.3828,2.0027,15.45,10.784,15.45,0.947,123.6809,5.9123,0.7491
369,4,103437,1616.2031,16384,50.0015,1.1943,0.3823,2.0063,11.998,11.766,11.998,0.9572,123.5208,5.9386,0.7412
370,4,104201,1628.1406,16384,49.845,1.1864,0.3832,1.9847,13.62,2.85,13.62,0.9345,123.638,5.8073,0.6244
371,4,104421,1631.5781,16384,49.9794,1.1838,0.3781,1.9889,6.593,3.038,6.593,0.9204,123.6121,5.729,0.589
372,4,104317,1629.9531,16384,49.9717,1.185,0.3792,1.99,11.746,11.746,6.493,0.9213,123.6051,5.6131,0.58
373,4,103823,1622.2344,16384,49.7163,1.1909,0.3852,1.9875,7.411,2.68,7.411,0.9203,123.6603,5.9248,0.7663
374,4,103758,1621.2188,16384,50.1436,1.1905,0.3843,2.0013,10.795,3.112,10.795,0.9264,123.5207,5.991,0.7857
375,4,104247,1628.8594,16384,50.2796,1.1859,0.3839,1.997,6.758,2.801,6.758,0.9247,123.6189,6.0393,0.7047
376,4,103771,1621.4219,16384,49.9889,1.1911,0.3841,1.9979,6.519,2.803,6.519,0.9247,123.6195,5.8153,0.6601
377,4,102309,1598.5781,16384,49.5597,1.2083,0.3842,2.0179,14.399,11.334,14.399,0.9604,123.6126,5.546,0.5805
378,4,103595,1618.6719,16384,49.9696,1.1934,0.3854,2.0004,8.509,8.509,7.715,0.9318,123.6295,5.8006,0.597
379,4,104357,1630.5781,16384,50.4164,1.1844,0.3839,1.9984,11.621,11.621,9.461,0.933,123.6088,5.9427,0.6504
380,4,103777,1621.5156,16384,50.2635,1.191,0.3853,2.0053,13.573,7.749,13.573,0.9634,123.6015,6.0125,0.7493
381,4,103716,1620.5625,16384,50.0983,1.1913,0.3831,2.0026,13.534,3.545,13.534,0.9454,123.6009,5.7825,0.6515
382,4,103597,1618.7031,16384,49.9358,1.1946,0.3885,1.9985,14.509,11.242,14.509,0.9402,123.7309,5.8421,0.7302
383,4,103828,1622.3125,16384,49.921,1.1903,0.3821,1.9959,6.9,2.665,6.9,0.9234,123.6164,5.6205,0.5799
384,4,104053,1625.8281,16384,50.0168,1.1886,0.3821,1.9956,13.442,3.212,13.442,0.9349,123.6146,5.7428,0.6242
385,4,103436,1616.1875,16384,50.1305,1.1952,0.3861,2.0086,11.172,7.571,11.172,0.9484,123.6269,5.7758,0.6338
386,4,103752,1621.125,16384,50.0231,1.1914,0.3833,2.0003,6.254,2.836,6.254,0.9246,123.6096,5.7049,0.6071
387,4,104046,1625.7188,16384,50.2643,1.1878,0.3813,2.0029,10.793,3.867,10.793,0.9349,123.5894,5.874,0.7052
388,4,103226,1612.9062,16384,49.8954,1.1974,0.3842,2.0072,15.692,2.597,15.692,0.9482,123.6041,5.5392,0.6086
389,4,103352,1614.875,16384,50.0774,1.1965,0.3839,2.0115,9.361,9.361,7.886,0.9366,123.6369,5.4204,0.5367
390,4,102886,1607.5938,16384,49.8562,1.2015,0.3836,2.0147,9.577,9.3,9.577,0.9466,123.6403,5.4104,0.5455
391,4,104331,1630.1719,16384,50.2238,1.1852,0.386,1.9915,12.238,9.528,12.238,0.9282,123.6498,5.581,0.5903
392,4,103191,1612.3594,16384,50.079,1.1983,0.388,2.0111,12.853,4.747,12.853,0.9332,123.6433,5.968,0.813
393,4,103668,1619.8125,16384,49.946,1.1919,0.3808,2.0012,6.91,2.746,6.91,0.9287,123.5581,5.8155,0.9216
394,4,104001,1625.0156,16384,50.063,1.1879,0.3818,1.9961,11.94,2.555,11.94,0.9276,123.5515,5.7849,0.8686
395,4,104004,1625.0625,16384,50.0173,1.1877,0.3845,1.9915,10.577,2.648,10.577,0.9214,123.5472,5.5102,0.5993
396,4,103495,1617.1094,16384,49.7754,1.1955,0.3826,2.0011,10.816,2.616,10.816,0.937,123.7253,5.5691,0.6069
397,4,103038,1609.9688,16384,49.8971,1.1997,0.3839,2.0122,6.595,6.275,6.595,0.9368,123.6039,5.7731,0.6335
398,4,102766,1605.7188,16384,50.0078,1.2027,0.3851,2.0205,13.66,3.998,13.66,0.9603,123.6027,6.0806,0.74
399,4,103206,1612.5938,16384,50.1928,1.1977,0.3832,2.0185,8.359,3.192,8.359,0.9475,123.6112,5.8147,0.6154
400,4,103336,1614.625,16384,49.9468,1.1961,0.3813,2.0092,7.086,2.675,7.086,0.9332,123.6034,5.7107,0.6246
401,4,103035,1609.9219,16384,49.9859,1.2009,0.3877,2.0137,12.841,7.067,12.841,0.9538,123.7192,5.7596,0.7311
402,4,102922,1608.1562,16384,50.2419,1.2007,0.3828,2.0265,13.532,9.192,13.532,0.9748,123.6006,5.7548,0.6513
403,4,102996,1609.3125,16384,50.0612,1.2004,0.3865,2.0162,8.102,5.268,8.102,0.9419,123.6084,6.1065,0.7744
404,4,103398,1615.5938,16384,49.8975,1.1956,0.3823,2.0056,6.87,3.057,6.87,0.9329,123.6069,5.741,0.6785
405,4,103859,1622.7969,16384,50.1709,1.1898,0.3849,2.0002,12.914,11.709,12.914,0.9501,123.6048,5.7192,0.6424
406,4,103876,1623.0625,16384,50.1444,1.1898,0.383,2.0012,7.589,3.743,7.589,0.9312,123.5946,5.4353,0.5275
407,4,103334,1614.5938,16384,49.7561,1.1974,0.383,2.0039,9.921,9.921,8.938,0.9298,123.7327,5.6359,0.5796
408,4,103340,1614.6875,16384,50.0077,1.1958,0.3852,2.0067,12.653,2.84,12.653,0.9361,123.6383,5.8242,0.669
409,4,103984,1624.75,16384,50.1067,1.1893,0.3813,2.0008,8.824,3.004,8.824,0.9326,123.592,6.0253,0.7867
410,4,102608,1603.25,16384,49.809,1.2038,0.3852,2.0162,11.844,2.735,11.844,0.9565,123.5133,5.8441,0.6781
411,4,103486,1616.9688,16384,50.1527,1.1963,0.3837,2.0138,13.382,11.301,13.382,0.9515,123.8363,5.6582,0.589
412,4,103861,1622.8281,16384,50.1025,1.1889,0.3827,1.9984,11.437,3.622,11.437,0.934,123.4257,5.8121,0.6685
413,4,102872,1607.375,16384,49.9077,1.2012,0.3841,2.0154,8.883,8.255,8.883,0.9427,123.6023,5.7385,0.6604
414,4,103090,1610.7812,16384,49.9505,1.1989,0.3837,2.0124,11.332,8.408,11.332,0.9494,123.614,5.9164,0.7139
415,4,103418,1615.9062,16384,50.1209,1.1964,0.3855,2.0112,14.587,5.689,14.587,0.9525,123.7338,5.8247,0.6679
416,4,103461,1616.5781,16384,49.9715,1.1951,0.3846,2.0046,6.982,6.041,6.982,0.9347,123.6082,5.7517,0.6242
417,4,103794,1621.7812,16384,50.2418,1.1907,0.3837,2.0056,9.382,9.382,6.428,0.9365,123.6033,5.6299,0.58
418,4,102009,1593.8906,16384,49.5035,1.2118,0.3828,2.0245,12.293,10.542,12.293,0.9764,123.6099,5.57,0.6159
419,4,103369,1615.1406,16384,50.0121,1.1958,0.382,2.0099,6.483,3.046,6.483,0.9375,123.6202,5.8267,0.6424
420,4,103437,1616.2031,16384,49.87,1.1953,0.3836,2.0028,6.751,2.491,6.751,0.931,123.6232,6.1007,0.7671
421,4,103372,1615.1875,16384,50.0164,1.1959,0.3852,2.0071,13.596,3.263,13.596,0.9369,123.6274,5.6816,0.6431
422,4,102509,1601.7031,16384,49.9351,1.2062,0.386,2.0243,10.121,3.88,10.121,0.9658,123.6236,5.6052,0.5981
423,4,102629,1603.5781,16384,49.8767,1.2041,0.3843,2.0198,12.347,7.736,12.347,0.956,123.6031,5.7517,0.642
424,4,102732,1605.1875,16384,50.1713,1.2028,0.3864,2.0248,20.461,10.363,20.461,0.9693,123.5258,5.8819,0.6962
425,4,102678,1604.3438,16384,49.7497,1.2021,0.3836,2.0125,12.377,12.377,11.936,0.9547,123.5201,6.2288,0.937
426,4,102693,1604.5781,16384,49.758,1.206,0.3848,2.0193,8.569,2.922,8.569,0.9541,123.7547,5.7832,0.6951
427,4,102895,1607.7344,16384,50.087,1.2002,0.3831,2.02,13.298,2.965,13.298,0.9818,123.5035,5.7035,0.6248
428,4,103288,1613.875,16384,50.2866,1.1969,0.3808,2.0224,12.846,2.86,12.846,0.9709,123.6116,5.6665,0.6336
429,4,103279,1613.7344,16384,50.0102,1.198,0.3815,2.0149,14.403,2.745,14.403,0.944,123.7239,5.6432,0.5795
430,4,102826,1606.6562,16384,50.3112,1.2022,0.3835,2.0311,17.513,2.721,17.513,1.0107,123.6091,5.7906,0.6691
431,4,102522,1601.9062,16384,49.9971,1.2082,0.3862,2.0302,12.531,4.14,12.531,0.9702,123.9058,5.8687,0.6789
432,4,103385,1615.3906,16384,50.2142,1.1925,0.3862,2.0057,10.997,9.334,10.997,0.9401,123.272,5.7135,0.6259
433,4,103345,1614.7656,16384,50.015,1.1972,0.3826,2.0124,7.501,4.628,7.501,0.9401,123.7192,5.7035,0.6416
434,4,102451,1600.7969,16384,49.8482,1.2061,0.3859,2.0212,13.495,7.895,13.495,0.9653,123.5967,5.5973,0.5624
435,4,102666,1604.1562,16384,49.9104,1.2042,0.381,2.0244,11.579,11.05,11.579,0.9514,123.5907,5.7716,0.678
436,4,103414,1615.8438,16384,50.0561,1.195,0.3866,2.0053,7.397,4.876,7.397,0.9358,123.6004,6.0215,0.6869
437,4,103028,1609.8125,16384,49.7641,1.201,0.3826,2.0117,8.562,2.517,8.562,0.9388,123.7227,5.7685,0.6776
438,4,103444,1616.3125,16384,50.0358,1.195,0.3838,2.0074,6.528,2.595,6.528,0.9345,123.6193,5.7018,0.6156
439,4,102340,1599.0625,16384,49.8339,1.2081,0.3826,2.0281,10.492,3.017,10.492,0.9633,123.6286,5.5134,0.5888
440,4,103271,1613.6094,16384,50.1322,1.1962,0.3836,2.0131,13.111,2.469,13.111,0.9556,123.5703,5.8589,0.7669
441,4,102992,1609.25,16384,50.0786,1.2004,0.3849,2.0185,6.62,2.769,6.62,0.9458,123.5926,5.9389,0.7668
442,4,102720,1605,16384,49.9494,1.2028,0.3863,2.0176,7.477,2.803,7.477,0.9438,123.565,5.9911,0.759
443,4,103049,1610.1406,16384,49.9714,1.1996,0.3849,2.0134,8.445,3.027,8.445,0.9471,123.6076,5.7261,0.6421
444,4,103865,1622.8906,16384,50.1459,1.19,0.3823,2.0024,6.839,2.912,6.839,0.9294,123.6153,5.8665,0.6598
445,4,102846,1606.9688,16384,50.0758,1.202,0.3836,2.0228,12.802,2.681,12.802,0.9595,123.6101,5.686,0.7141
446,4,102781,1605.9531,16384,49.7475,1.2027,0.3822,2.0149,9.338,8.451,9.338,0.9434,123.6171,5.6646,0.5977
447,4,102479,1601.2344,16384,49.8131,1.2063,0.3852,2.0213,14.953,7.148,14.953,0.9716,123.6179,5.7018,0.6961
448,4,102660,1604.0625,16384,50.2231,1.2038,0.3862,2.0287,12.641,9.322,12.641,0.9615,123.5909,6.0013,0.7401
449,4,103121,1611.2656,16384,50.1353,1.2002,0.3855,2.0194,13.436,2.67,13.436,0.967,123.7434,5.7231,0.624
450,4,102721,1605.0156,16384,50.13,1.2036,0.3875,2.0239,12.912,3.547,12.912,0.9576,123.6358,5.5038,0.6165
451,4,102290,1598.2812,16384,49.8123,1.2072,0.3824,2.0258,13.681,2.897,13.681,0.9701,123.5116,5.3587,0.5458
452,4,102787,1606.0469,16384,49.8497,1.2028,0.3836,2.017,10.688,2.909,10.688,0.9533,123.6149,5.4637,0.6169
453,4,103248,1613.25,16384,50.3293,1.1983,0.3859,2.0215,13.512,2.794,13.512,0.956,123.7266,5.6097,0.5718
454,4,102926,1608.2188,16384,49.9582,1.2008,0.3863,2.014,9.884,2.519,9.884,0.9458,123.5971,5.8203,0.6884
455,4,102661,1604.0781,16384,49.7872,1.2034,0.3838,2.0161,11.467,2.731,11.467,0.9443,123.5651,5.6792,0.6976
456,4,102436,1600.5625,16384,49.8438,1.2064,0.3834,2.0243,13.235,11.419,13.235,0.9698,123.6039,5.4388,0.5456
457,4,103224,1612.875,16384,50,1.1976,0.386,2.0093,11.604,9.305,11.604,0.9506,123.5989,5.4637,0.5902
458,4,102511,1601.7344,16384,49.9312,1.2072,0.3855,2.0267,13.009,10.247,13.009,0.9711,123.736,5.5466,0.5895
459,4,102120,1595.625,16384,49.811,1.2102,0.3865,2.0278,7.173,5.517,7.173,0.9552,123.6032,5.9243,0.7316
460,4,103110,1611.0938,16384,50.0524,1.1987,0.385,2.0141,6.587,2.808,6.587,0.9378,123.5968,5.7974,0.6601
461,4,103015,1609.6094,16384,49.8646,1.2001,0.3849,2.0108,7.037,2.533,7.037,0.9411,123.6031,5.6488,0.6068
462,4,102106,1595.4062,16384,49.6984,1.2104,0.3867,2.0243,7.269,3.066,7.269,0.948,123.6116,5.5153,0.5801
463,4,102626,1603.5312,16384,50.1851,1.2041,0.3889,2.0253,7.183,3.237,7.183,0.952,123.6023,5.6588,0.6158
464,4,103424,1616,16384,50.4303,1.1965,0.383,2.0241,12.867,3.505,12.867,0.9745,123.7228,5.8347,0.6414
465,4,103200,1612.5,16384,50.03,1.1979,0.3833,2.0135,6.379,3.038,6.379,0.9388,123.5954,5.9848,0.6878
466,4,102583,1602.8594,16384,50.0219,1.2045,0.3864,2.0234,7.396,3.408,7.396,0.9478,123.5914,5.7741,0.6425
467,4,102508,1601.6875,16384,49.7405,1.2058,0.3828,2.0204,6.903,2.848,6.903,0.9509,123.6129,5.6484,0.6157
468,4,103473,1616.7656,16384,50.102,1.1947,0.3846,2.0081,12.235,10.324,12.235,0.9433,123.634,5.7013,0.6068
469,4,102539,1602.1719,16384,50.1185,1.2063,0.385,2.0314,11.017,8.006,11.017,0.9645,123.6501,5.6592,0.6248
470,4,102171,1596.4219,16384,50.1542,1.2101,0.3876,2.0377,13.889,11.044,13.889,0.9778,123.6494,5.9468,0.7667
471,4,102496,1601.5,16384,49.9756,1.2062,0.3893,2.0224,6.597,2.705,6.597,0.9455,123.6343,5.8389,0.6775
472,4,102942,1608.4688,16384,50.2467,1.2009,0.3852,2.0247,9.288,9.288,7.987,0.9513,123.6111,5.6607,0.6161
473,4,102225,1597.2656,16384,49.8948,1.2091,0.3844,2.0303,15.457,2.798,15.457,0.9698,123.5981,5.5937,0.6155
474,4,102969,1608.8906,16384,50.0918,1.2005,0.3849,2.0191,12.089,2.865,12.089,0.9489,123.6032,5.7397,0.5971
475,4,102763,1605.6719,16384,49.8594,1.2014,0.3853,2.0131,6.579,2.453,6.579,0.9415,123.5217,6.0583,0.8477
476,4,102449,1600.7656,16384,49.7731,1.2068,0.3841,2.022,11.787,2.734,11.787,0.9485,123.6298,6.2438,0.9633
477,4,102626,1603.5312,16384,50.0546,1.2048,0.3842,2.0271,11.43,3.368,11.43,0.9584,123.5942,5.7806,0.6691
478,4,102802,1606.2812,16384,50.2111,1.2018,0.3854,2.0252,13.274,2.844,13.274,0.9718,123.6077,5.6324,0.5623
479,4,102702,1604.7188,16384,50.0321,1.2041,0.3863,2.0229,10.481,6.176,10.481,0.9485,123.6121,5.7256,0.6599
480,4,102563,1602.5469,16384,49.9566,1.2053,0.3857,2.0234,13.403,12.636,13.403,0.9531,123.6091,5.7716,0.669
481,4,102564,1602.5625,16384,50.0956,1.205,0.3877,2.0255,11.916,5.557,11.916,0.9629,123.5818,6.0763,0.7663
482,4,102407,1600.1094,16384,49.9204,1.2079,0.3844,2.0289,14.753,3.24,14.753,0.9682,123.7189,5.7486,0.6684
483,4,102548,1602.3125,16384,49.9971,1.2053,0.3862,2.0244,11.247,11.247,6.794,0.9464,123.6129,5.6762,0.6247
484,4,102496,1601.5,16384,50.0049,1.2061,0.3848,2.0276,6.925,2.684,6.925,0.9511,123.6079,5.7198,0.597
485,4,102702,1604.7188,16384,49.9922,1.2033,0.3833,2.023,12.117,8.397,12.117,0.9647,123.5954,5.7701,0.6599
486,4,103083,1610.6719,16384,50.1353,1.1988,0.3838,2.0183,11.056,11.056,9.524,0.9478,123.5905,5.6752,0.5899
487,4,102921,1608.1406,16384,49.9966,1.2013,0.3841,2.0183,12.298,2.585,12.298,0.952,123.6614,6.1846,0.8835
488,4,102421,1600.3281,16384,50.064,1.2072,0.3838,2.0326,10.389,2.956,10.389,0.9659,123.6005,5.7135,0.616
489,4,102527,1601.9844,16384,49.9,1.2049,0.3833,2.0233,12.949,2.735,12.949,0.9662,123.5642,5.8166,0.7404
490,4,102189,1596.7031,16384,50.1355,1.2099,0.3901,2.0341,19.271,19.271,18.893,0.9781,123.601,5.78,0.7136
491,4,102900,1607.8125,16384,50.0933,1.2017,0.3864,2.0201,9.846,9.112,9.846,0.9503,123.643,5.7275,0.6156
492,4,102635,1603.6719,16384,50.0736,1.2043,0.3863,2.0246,11.721,9.332,11.721,0.9569,123.6122,5.9438,0.7675
493,4,102787,1606.0469,16384,50.0063,1.2024,0.3882,2.0167,11.5,11.5,6.656,0.9416,123.6013,5.7821,0.6425
494,4,101918,1592.4688,16384,49.8901,1.2132,0.3858,2.037,7.76,3.465,7.76,0.9647,123.6196,5.6458,0.6422
495,4,102550,1602.3438,16384,49.9698,1.2052,0.3835,2.026,6.228,2.757,6.228,0.9532,123.6164,5.5252,0.5534
496,4,102220,1597.1875,16384,49.9658,1.2089,0.3916,2.0252,11.465,7.52,11.465,0.957,123.6186,5.6463,0.6155
497,4,102577,1602.7656,16384,49.9917,1.2052,0.385,2.0251,7.496,3.112,7.496,0.9515,123.6099,5.8482,0.6686
498,4,102319,1598.7344,16384,49.8109,1.2097,0.3859,2.0273,6.122,3.352,6.122,0.9524,123.7449,5.9831,0.7223
499,4,102965,1608.8281,16384,50.0908,1.199,0.3869,2.014,11.288,11.288,7.548,0.9445,123.5083,5.6047,0.6078
500,4,103349,1614.8281,16384,50.223,1.1976,0.385,2.0176,9.271,9.271,6.252,0.9461,123.7312,5.7885,0.6234
501,4,102933,1608.3281,16384,50.1394,1.2006,0.3834,2.0225,13.452,2.61,13.452,0.9684,123.575,5.842,0.6868
502,4,101613,1587.7031,16384,49.8135,1.2158,0.3902,2.0353,7.463,5.701,7.463,0.9605,123.6023,5.6468,0.5709
503,4,102624,1603.5,16384,50.0984,1.2049,0.3883,2.0247,11.111,11.111,8.942,0.9538,123.6006,5.7711,0.6155
504,4,102279,1598.1094,16384,49.8685,1.2086,0.3836,2.0293,9.576,8.568,9.576,0.9628,123.6058,5.9226,0.6957
505,4,102859,1607.1719,16384,50.0452,1.2028,0.3862,2.0208,11.903,9.348,11.903,0.9539,123.7138,5.7008,0.6513
506,4,102600,1603.125,16384,50.1764,1.2048,0.3846,2.0307,14.331,12.168,14.331,0.9828,123.5977,5.5992,0.5715
507,4,102084,1595.0625,16384,50.2557,1.2106,0.384,2.0456,13.239,5.114,13.239,0.9929,123.5999,5.5928,0.5709
508,4,102617,1603.3906,16384,50.0931,1.2048,0.3859,2.0268,7.362,2.718,7.362,0.9502,123.6043,5.5889,0.6338
509,4,102431,1600.4844,16384,49.854,1.2063,0.3827,2.025,13.119,2.666,13.119,0.9509,123.6073,5.7819,0.6067
510,4,101819,1590.9219,16384,49.9799,1.2144,0.3893,2.039,12.517,4.076,12.517,0.9817,123.6374,5.8946,0.652
511,4,102575,1602.7344,16384,49.901,1.2058,0.3828,2.0254,12.072,2.715,12.072,0.9503,123.6479,5.4515,0.6266
512,4,102456,1600.875,16384,50.0742,1.2059,0.3836,2.0307,6.543,3.415,6.543,0.959,123.6258,5.3796,0.6176
513,4,102157,1596.2031,16384,49.8194,1.2103,0.3855,2.0292,12.269,8.197,12.269,0.9609,123.6176,5.4257,0.6178
514,4,101692,1588.9375,16384,49.6263,1.2157,0.3902,2.029,9.814,8.715,9.814,0.9583,123.5981,5.6597,0.6695
515,4,102076,1594.9375,16384,50.0118,1.2118,0.3867,2.0372,12.729,11.703,12.729,0.9735,123.7363,5.8026,0.7767
516,4,101982,1593.4688,16384,49.8186,1.2127,0.3863,2.0332,6.945,3.286,6.945,0.9574,123.6127,5.5435,0.6348
517,4,101733,1589.5781,16384,50.0093,1.2148,0.3861,2.0437,10.903,2.98,10.903,0.9779,123.6238,5.3593,0.5727
518,4,101730,1589.5312,16384,49.7808,1.2155,0.3841,2.0396,13.37,2.776,13.37,0.9736,123.6256,5.2871,0.5546
519,4,102023,1594.1094,16384,49.8123,1.2114,0.386,2.0306,7.365,2.597,7.365,0.9538,123.6094,5.6226,0.5801
520,4,102796,1606.1875,16384,50.1566,1.2023,0.3837,2.0261,11.932,3.218,11.932,0.9648,123.6,5.8009,0.6247
