interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
159,4,105989,1656.0781,16384,50.0948,1.1659,0.3783,1.9566,5.917,2.633,5.917,0.8845,123.5482,5.9124,0.7234
160,4,106139,1658.4219,16384,49.8695,1.1641,0.3789,1.9452,12.27,2.818,12.27,0.8778,123.5648,5.8871,0.6958
161,4,105566,1649.4688,16384,50.3846,1.1704,0.3783,1.9749,14.392,14.392,14.178,0.9189,123.5514,5.8751,0.6875
162,4,105747,1652.2969,16384,49.9589,1.1689,0.3791,1.9574,7.5,3.079,7.5,0.8846,123.6111,5.765,0.6078
163,4,105068,1641.6875,16384,49.7887,1.1766,0.3816,1.9648,5.994,3.417,5.994,0.8944,123.6228,6.0179,0.7232
164,4,106561,1665.0156,16384,50.1384,1.1598,0.3778,1.9462,6.083,3.048,6.083,0.8776,123.6106,5.8912,0.6784
165,4,104854,1638.3438,16384,50.1068,1.179,0.3809,1.9805,13.423,10.323,13.423,0.927,123.6084,5.7018,0.6335
166,4,105565,1649.4531,16384,49.9029,1.1709,0.379,1.9598,12.932,11.77,12.932,0.8919,123.6118,5.7222,0.6339
167,4,105887,1654.4844,16384,50.2668,1.1675,0.3775,1.9659,12.536,6.446,12.536,0.9075,123.6316,6.0125,0.7403
168,4,105550,1649.2188,16384,50.2568,1.1713,0.3823,1.9685,13.753,5.88,13.753,0.9174,123.618,6.0314,0.7317
169,4,105111,1642.3594,16384,49.8035,1.176,0.3786,1.9672,11.964,3.543,11.964,0.9024,123.6204,5.843,0.6601
170,4,105886,1654.4688,16384,50.1275,1.1676,0.3812,1.9579,12.224,2.613,12.224,0.8945,123.6154,5.7217,0.6069
171,4,106059,1657.1719,16384,50.1711,1.1653,0.3783,1.9576,14.131,2.716,14.131,0.8991,123.6259,5.7616,0.5709
172,4,106037,1656.8281,16384,50.1947,1.1649,0.3785,1.9575,14.071,3.298,14.071,0.8899,123.4877,6.1363,0.9007
173,4,105742,1652.2188,16384,50.1664,1.1688,0.3807,1.9623,11.927,2.633,11.927,0.8923,123.5879,5.8771,0.7236
174,4,105474,1648.0312,16384,49.8407,1.1719,0.381,1.9578,6.051,2.486,6.051,0.8844,123.6281,5.9596,0.7058
175,4,106046,1656.9688,16384,49.9849,1.1658,0.3833,1.9479,6.54,2.482,6.54,0.8745,123.6204,5.896,0.7415
176,4,105243,1644.4219,16384,49.9739,1.1745,0.3817,1.9664,13.052,11.437,13.052,0.9045,123.6346,5.6438,0.5715
177,4,105366,1646.3438,16384,49.8206,1.174,0.3788,1.9635,13.233,9.753,13.233,0.8987,123.6713,5.694,0.6247
178,4,104994,1640.5312,16384,49.88,1.1763,0.3827,1.966,14.101,14.101,13.786,0.9089,123.5042,5.7836,0.6079
179,4,106078,1657.4688,16384,50.2244,1.1652,0.38,1.9575,6.093,4.359,6.093,0.8853,123.6118,6.015,0.7139
180,4,104782,1637.2188,16384,49.7585,1.1797,0.381,1.9708,14.111,3.999,14.111,0.909,123.606,6.6078,1.4109
181,4,105549,1649.2031,16384,49.7106,1.171,0.3791,1.9539,10.267,3.899,10.267,0.8889,123.6028,5.7296,0.6247
182,4,106120,1658.125,16384,50.0961,1.1649,0.3795,1.9534,13.42,10.387,13.42,0.8804,123.6258,5.7669,0.615
183,4,105805,1653.2031,16384,50.0354,1.1711,0.378,1.9652,9.179,2.464,9.179,0.8957,123.8885,5.8443,0.6049
184,4,104634,1634.9062,16384,49.698,1.179,0.38,1.9684,12.896,2.567,12.896,0.9135,123.3687,6.011,0.7324
185,4,105619,1650.2969,16384,49.9664,1.1704,0.3788,1.9609,12.339,2.768,12.339,0.8966,123.6379,6.084,0.7315
186,4,105910,1654.8438,16384,50.0906,1.1672,0.3816,1.9556,7.31,2.636,7.31,0.8791,123.6326,5.9641,0.6597
187,4,105250,1644.5312,16384,50.1064,1.175,0.3792,1.9741,12.312,2.666,12.312,0.9354,123.6542,5.7685,0.6151
188,4,105345,1646.0156,16384,50.1998,1.1732,0.3823,1.9704,11.508,9.365,11.508,0.9048,123.5398,5.8147,0.6699
189,4,105900,1654.6875,16384,50.1756,1.1673,0.3809,1.9591,17.498,17.498,11.197,0.8936,123.6334,5.9774,0.7047
190,4,104827,1637.9219,16384,49.5989,1.1792,0.3795,1.9661,7.912,3.469,7.912,0.8954,123.6305,5.9793,0.7319
191,4,106041,1656.8906,16384,50.0014,1.1661,0.3809,1.9513,13.584,2.746,13.584,0.8849,123.6398,5.9875,0.7763
192,4,105508,1648.5625,16384,50.0085,1.1719,0.3845,1.9595,13.072,4.034,13.072,0.9063,123.6406,5.6697,0.5625
193,4,105462,1647.8438,16384,49.8568,1.1717,0.3776,1.9611,6.588,2.592,6.588,0.8862,123.5525,5.6399,0.6971
194,4,105651,1650.7969,16384,49.8528,1.1704,0.3772,1.959,6.514,2.71,6.514,0.8861,123.6579,5.5078,0.5812
195,4,105633,1650.5156,16384,49.9068,1.1705,0.3816,1.9565,10.655,2.476,10.655,0.8945,123.648,5.5665,0.6265
196,4,104797,1637.4531,16384,49.8392,1.179,0.3815,1.9713,8.942,3.704,8.942,0.8984,123.5317,5.8113,0.6626
197,4,105522,1648.7812,16384,50.1867,1.1716,0.3828,1.9663,11.515,11.515,9.387,0.8939,123.635,5.7803,0.6254
198,4,105065,1641.6406,16384,49.7387,1.1765,0.38,1.9646,12.4,11.425,12.4,0.8944,123.6111,5.5437,0.5991
199,4,105381,1646.5781,16384,50.0375,1.1732,0.3823,1.9654,11.655,8.299,11.655,0.9046,123.6319,5.5525,0.5901
200,4,105133,1642.7031,16384,49.9425,1.1764,0.3818,1.9692,12.446,9.082,12.446,0.9014,123.6731,5.6811,0.6253
201,4,105981,1655.9531,16384,50.1024,1.1661,0.3774,1.958,6.084,3.637,6.084,0.8848,123.6329,5.7792,0.6978
